model,dataset,filename,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
CBLOF,GECCO,173_GECCO_id_1_Sensor_tr_16165_1st_16265.csv,12.43,0.011809483157619852,0.4336277965307172,0.019187871056146735,0.4424487194830405,0.008698173383589447,0.14878706199460917,0.014248397055330979,0.0006758548731724551,0.11642270790771336
CBLOF,PSM,115_PSM_id_1_Facility_tr_50000_1st_129872.csv,28.44,0.08745727114111727,0.39838192872042255,0.09940324944273521,0.40892628303961576,0.003949035094255271,0.52076200993926,0.03526113196787501,0.0036561956420643337,0.18613300310731767
CBLOF,Daphnet,018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,1.07,0.29446188449926325,0.7823364441883537,0.31207291506779566,0.8087379821549648,0.10096339113680154,0.9668763102725367,0.6238095238095234,0.0207461196629274,0.8501540840071611
CBLOF,Genesis,001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,0.73,0.12583466098242965,0.40392455163883734,0.036283267368147194,0.562712928878476,0.0,0.0,0.0,0.0,
CBLOF,SWaT,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,1.82,0.1967824913357608,0.6609558221927049,0.21460833095881648,0.6540190957659846,0.0,0.0,0.0,0.0,
CBLOF,SWaT,172_SWaT_id_2_Sensor_tr_23700_1st_23800.csv,34.06,0.11352998394203945,0.2954666550578246,0.09516417916990506,0.272109512759698,0.0416113670075728,0.0472140591246132,0.13746856663872573,0.017600857173258242,0.1378574928157635
CBLOF,CreditCard,137_CreditCard_id_1_Finance_tr_500_1st_541.csv,27.07,0.002641544954412799,0.6495863256559161,0.022102230584140955,0.8705756234737858,0.004816112084063047,0.004816112084063047,0.004844747852895654,7.43023545886909e-06,0.5858901925303167
CBLOF,GHL,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,10.54,0.010057514116269112,0.5872555450818493,0.01063366383073879,0.6018863035925512,0.0,0.0,0.0,0.0,
CBLOF,GHL,033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,10.76,0.008446235284938087,0.507426090186542,0.008963438482276674,0.5234518071971757,0.0,0.0,0.0,0.0,
CBLOF,GHL,034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,10.9,0.05015217661489626,0.8827347330203582,0.05878250307499009,0.8908558459559638,0.0,0.0,0.0,0.0,
