model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
CBLOF,GECCO,mtsbench,GECCO/GECCO_water_quality,5.77,27560,83113,39,0.02124068949999281,0.45071214170420665,0.021729025262152,0.41711147374364843,0.015146299483648882,0.17473884140550808,0.02164289227742221,0.000844687225824882,0.12595446990215206
CBLOF,PSM,mtsbench,PSM/PSM,9.08,132481,70273,125,0.41745224283109195,0.4441504052861159,0.3250998873638216,0.3098930878557241,0.0,0.0,0.0,0.0,
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S01R01E1,2.41,13796,58880,69,0.10618466130718177,0.6029717302156085,0.1188986448653365,0.641579627881321,0.053164556962025315,0.8720796228391828,0.20064045356711616,0.010431071644840853,0.774122556988256
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S02R01E0,1.2,5120,20480,58,0.26057949311351325,0.6779724316715205,0.2721582900603342,0.7009898808546152,0.08261530663963507,0.9339157390446667,0.4988523335883699,0.03419343806963827,0.7989809800781337
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S02R02E0,2.38,12182,51968,62,0.22144770275768635,0.6646612576751174,0.2315561740360222,0.6840553523631284,0.06395891690009337,0.9335904853744776,0.34683544303797437,0.019137922459858715,0.6841527763787723
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E0,1.6,9281,44032,38,0.3090903845136413,0.6613436841228245,0.3271602611276636,0.6805130061950524,0.07622203811101906,0.9574977551631249,0.4971181556195961,0.01760359534997327,0.8019073679592609
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E1,1.71,4533,28672,54,0.4320035062957252,0.6888651064623836,0.4561863900654344,0.708369124299473,0.05703012912482066,0.9055460147489646,0.5681953543776053,0.02585836512614694,0.6547745350548906
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S03R02E0,2.77,3328,13312,150,0.4775248603296988,0.7550833267795741,0.5509821255651242,0.8244065989968092,0.1242672919109027,0.9800254993625159,0.7718446601941743,0.0521107452019569,0.8219427566265379
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E0,1.05,3788,15872,64,0.06891959224323527,0.5176142410712393,0.07596666337644606,0.5552655788435096,0.022707423580786028,0.9459962756052142,0.1830985915492956,0.029860655650024975,0.6915582341321668
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E1,1.71,2099,11674,73,0.39817496740705965,0.6113373141867513,0.44517539278759816,0.6562826948500973,0.07390917186108638,0.9603460706560922,0.6315789473684205,0.04521556615703361,0.7809405314668435
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E2,1.08,1940,11264,63,0.20558102333335693,0.49089191555202666,0.21396291560007533,0.5115499977087077,0.04250295159386069,0.9576697401508801,0.4007421150278289,0.08011050854518513,0.7444193615013941
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E3,1.49,1088,7680,67,0.5090977977661688,0.4938493730890835,0.538159733552187,0.5311647405354074,0.04168710152035311,0.9928111993946274,0.7488986784140964,0.10986998056389145,0.7628646667465112
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E0,2.92,6726,28672,64,0.3876512889195708,0.5953442542613753,0.410815008038765,0.6201602061488121,0.05886909372579396,0.9808865392435949,0.618724559023066,0.03327161693213352,0.8345699463876823
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E1,2.42,6016,24064,66,0.2558468026978023,0.5506633554018958,0.2727299844664543,0.5764889198561196,0.03403675970047652,0.9552319797413403,0.3086419753086416,0.04583780983578882,0.7443022019986292
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E0,2.37,10240,40960,65,0.19458066434303975,0.5106383609854289,0.1993582950048109,0.5206263731589525,0.003428851334802841,0.8127867181242263,0.2021660649819492,0.045570678714400584,0.5209079996203118
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E1,0.74,6144,24576,64,0.01348915666879005,0.5695243823335786,0.016098371926563073,0.6264949129923539,0.0087527352297593,0.3210332103321033,0.012307692307692283,0.010534276145612724,0.6602566979182688
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E2,0.49,5120,20480,65,0.004032323768828761,0.5043260989233519,0.004901542796879597,0.5640393421403667,0.0,0.0,0.0,0.0,0.472577282545081
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S07R01E0,3.66,14223,59392,81,0.0715467577957783,0.5694836195135977,0.08089838525245886,0.6154275629308636,0.0187683284457478,0.91365171249397,0.31904287138584214,0.00820995981748141,0.7602850237061078
CBLOF,Daphnet,mtsbench,Daphnet/Daphnet_S07R02E0,1.88,5760,23040,78,0.05854395889785628,0.5163243944195163,0.06845835839170476,0.5755756801507849,0.01437908496732026,0.7660438667749797,0.10232558139534866,0.013589600455634654,0.6903163941499163
